Percent_Stride,BF_Right_4p0_Mean,BF_Right_4p0_Std,BF_Right_5p0_Mean,BF_Right_5p0_Std,BF_Right_6p0_Mean,BF_Right_6p0_Std,BF_Right_7p0_Mean,BF_Right_7p0_Std,BF_Right_7p5_Mean,BF_Right_7p5_Std,BF_Right_8p0_Mean,BF_Right_8p0_Std,BF_Left_4p0_Mean,BF_Left_4p0_Std,BF_Left_5p0_Mean,BF_Left_5p0_Std,BF_Left_6p0_Mean,BF_Left_6p0_Std,BF_Left_7p0_Mean,BF_Left_7p0_Std,BF_Left_7p5_Mean,BF_Left_7p5_Std,BF_Left_8p0_Mean,BF_Left_8p0_Std
28,0.969595811521293,0.00475433423076494,0.95781471049557,0.00204603919028579,0.955728372020039,0.0013453697339849,0.952715543090288,0.00241133755898224,0.949710255239924,0.000856352107428611,0.933336116803562,0.000864902129871459,1.06754611855207,0.00681158041356602,1.06936820007799,0.0132988974640646,1.0799612018022,0.0102732958790378,1.08516815276669,0.00205846915638805,1.07223026088212,0.00631218533434262,1.11245802837254,0.00164431985602897
29,0.968741872607411,0.00372937292282449,0.95813990098281,0.00222813320601796,0.955398888535307,0.00142132358480723,0.951848442741362,0.00247897287945666,0.948018763582309,0.000669908210604696,0.92971038682648,0.000700805238755687,1.07280777700088,0.00688644328572728,1.07568800834065,0.0127307576682204,1.08608783085709,0.00972451745727397,1.09120155277947,0.00215203281200521,1.07896742671912,0.0063436200426905,1.11705783420457,0.00169388809567386
30,0.96800253673858,0.00284582688113167,0.958475697736649,0.0023190198646887,0.955125345300995,0.00146017332528476,0.950848110883999,0.0025834269049442,0.946380686224422,0.00063151705274727,0.925703480744981,0.000587645004520243,1.07775455342729,0.00682005891584533,1.08171262771041,0.0119960123632955,1.09192109281163,0.00904698311723248,1.09682864084876,0.00247456550279703,1.08569362423306,0.0062542527742155,1.12053705139258,0.00190212235157412
31,0.967312355428826,0.00214286209115124,0.958705639887767,0.00233782223117005,0.954811273458206,0.00147525255371335,0.949651015636923,0.00272258421511373,0.944769998541899,0.000836380471064872,0.921297413590102,0.000562110887448317,1.08230374092725,0.00658201948434421,1.08729696668585,0.0111026021221627,1.09728578772546,0.00822914717889981,1.10191617831484,0.00297829086660288,1.09230993067017,0.00602988304864657,1.12281998365204,0.0021963100766246
32,0.966618251775772,0.00166655960741842,0.958721127574883,0.00228962691653723,0.9543644696387,0.00148868316305786,0.948198272631931,0.00289051951544859,0.943179469415054,0.00119633070623623,0.916510276707093,0.000648329587036216,1.08639134891696,0.00616077514250724,1.0922769233175,0.0100487466868814,1.10205096456258,0.00732184486093404,1.10634007855201,0.00358929263750184,1.09868173516986,0.00567111323624751,1.12390469388648,0.00249818076857293
33,0.965848193598553,0.00147131255802864,0.958400781411669,0.00219908048935999,0.953698016420302,0.00151675304284751,0.94643690547953,0.00307676438613708,0.941595906255701,0.00164512014941178,0.911397835628634,0.000823134769047968,1.08989583966987,0.0055086577826552,1.09645619862423,0.00885187197717442,1.10609560084075,0.00635318078571135,1.10999500522232,0.00424131678580289,1.10464776030317,0.00519606514666363,1.12385944552454,0.00275672638209243
34,0.964950844414905,0.00154064800510817,0.957672961190736,0.00209562501303085,0.952729619870726,0.00157577084229777,0.944321191789727,0.0032712650260581,0.939977767964095,0.00217200328560738,0.906048529586727,0.00104688021424529,1.09278569460202,0.00465153959483039,1.09973937781112,0.00765006441657468,1.10931710840168,0.00537026859088691,1.11279481190505,0.00489288602170418,1.11003011597853,0.00464345444526237,1.12280893039448,0.00294948973759332
35,0.963895102072212,0.00181331165413836,0.956477720664432,0.00198910524501209,0.951387462953049,0.00167842480881134,0.941822782661845,0.00345856790813558,0.938246620170062,0.00277360614159188,0.900573335727774,0.0012898207117275,1.09503266275139,0.00364717026561598,1.10205638814024,0.00648786041295606,1.11164673861085,0.00442728364895286,1.11469055980487,0.00550204740666951,1.11466096954253,0.0040526861732559,1.12091453180098,0.00307488572652957
36,0.962612407882911,0.00225330711258869,0.954784501116062,0.00189168626925672,0.949618415242322,0.00182759280159147,0.938934379256585,0.0036264554652052,0.93630243498011,0.00343478006203653,0.895095284138138,0.00153081909149275,1.09656197331824,0.00253691947600596,1.10338944439844,0.00539341183876205,1.11305285130955,0.00357752838095429,1.11566364702477,0.00603826952384725,1.11839915975042,0.00345869320180478,1.11835260383686,0.00314521592396739
37,0.961097889956351,0.00281245592046624,0.952554160340994,0.00186337419021943,0.947395320127757,0.00201495655926027,0.935673222526647,0.00376944481628386,0.934046393101911,0.00412722358123576,0.889741506874871,0.00175383617931399,1.09744714615287,0.00147373635599468,1.10369096983658,0.00436922916626292,1.11353999627574,0.00286594956812139,1.11572070945223,0.00648763900900808,1.12113867209493,0.00289261502763395,1.11529432881842,0.00317904161102403
38,0.959334597577531,0.00343488443306633,0.949813315987216,0.00186343936657563,0.944721743088294,0.00222478325487106,0.932082412240459,0.00388792852226164,0.931403181872091,0.00481390138055399,0.884636600110576,0.00194655304480424,1.09769839039047,0.00103868385026671,1.10303004743022,0.00350721706071337,1.11314291348352,0.00232160205845746,1.11489110335585,0.00684629566376593,1.12281633824208,0.00237588817109068,1.11189275872602,0.00319467064458727
39,0.957300450864311,0.00409554683427978,0.946643648563627,0.00192154528429674,0.941626863913669,0.0024361600049522,0.928229320251557,0.00398678899421343,0.928336545041446,0.0054555004549789,0.879899302547228,0.00209908252298433,1.09733893101484,0.00179244857412962,1.10153805158751,0.00287336655105641,1.11190154504965,0.00194208812562299,1.11322159188855,0.00711759172837288,1.12341183899412,0.00191615923385287,1.10827655700409,0.00320854936111023
40,0.955039240958713,0.0047479842412699,0.943142582066815,0.00204024308557788,0.938182114977028,0.00263441313996071,0.924202383267035,0.00407243462753471,0.924854365087588,0.00601947582735017,0.875639177129673,0.0022042860956105,1.09648845763581,0.0028457883878479,1.09935501461171,0.00243690988349294,1.10989265486238,0.00167624712779462,1.11077235234695,0.0073097852849014,1.12294233213967,0.00150610873903217,1.10454556192612,0.00323437691376397
41,0.952559145498212,0.00532490183778025,0.939406152118535,0.00221872857309988,0.934480779100546,0.00281632517169635,0.920107207450524,0.00414972753302066,0.921004808490498,0.00648384376087373,0.871955378509776,0.00225565565221119,1.09516678857723,0.00382007348549302,1.0965767921189,0.00213909924376664,1.10718226615327,0.00148369219337795,1.10761365823349,0.0074341965120612,1.12145436348175,0.00113267404661862,1.10076942740095,0.00328189734976195
42,0.94992091311302,0.00580715121730906,0.935571597741894,0.00240176971405824,0.930652944794115,0.00297498104062392,0.916061911895551,0.00421798110388003,0.916871576511952,0.00683794929481159,0.868937953390164,0.00224712724203749,1.09346434349954,0.00471013660465086,1.09336112648335,0.0020111901183595,1.10389188247321,0.00130080812267321,1.10382333137372,0.00750377773405261,1.11901698531712,0.000801114838345005,1.09698929088818,0.00335571191591235
43,0.947191882289242,0.0061628144632844,0.931782230618154,0.00257497461720247,0.926822058172788,0.00310938804039559,0.912194127073878,0.0042702306970782,0.912567700793225,0.00708209138587688,0.866669303513375,0.00217259793026463,1.09146333212498,0.005479900346942,1.08982154570676,0.00200223047177246,1.10010845533008,0.00108773770475294,1.09948518613569,0.00753197282975721,1.11571714792791,0.000598143165127042,1.09322100127456,0.00345465721359275
44,0.94443095667779,0.00637320309313923,0.928177642924063,0.00271613742808013,0.923117686819101,0.00322280400989132,0.908637552748729,0.00429301571954876,0.908230449668704,0.00722627618158363,0.865219966425374,0.00202775943175575,1.08918589601685,0.00610769529803219,1.0860943224105,0.00204133105131713,1.09592133411213,0.000828250196730644,1.09468809266176,0.00753172815151141,1.11165669512001,0.000711840914320744,1.08945876517599,0.0035722822261929
45,0.941741152654481,0.00642243810192428,0.924920188472743,0.0027498353907097,0.919671526515161,0.00331954565023208,0.905530126061508,0.00426819779701491,0.904014630700581,0.00728794217322645,0.864659636383633,0.0018074024561429,1.08669444114239,0.0066505280194883,1.08228018274969,0.00210500934049009,1.09142177186921,0.000548351372524979,1.08952510292904,0.00751473726295136,1.10695039461884,0.00109163715290465,1.08567917024752,0.00369856315439206
46,0.939188728131003,0.00632614579366721,0.922130572747298,0.00267240217723122,0.91661567529035,0.00340442822334758,0.90301310182368,0.00417544405412804,0.90008714348538,0.00728804777705076,0.865105312387661,0.00149539911207891,1.08400852763813,0.00711533622301106,1.07846719704226,0.0021896352956275,1.08670202831519,0.000438135387385087,1.08409233625962,0.00749085484449872,1.10172445628893,0.00158679299427117,1.08184592119456,0.00382259858674366
47,0.936864060867488,0.00610556071501495,0.919953701860858,0.00248406706047186,0.914099752926009,0.00349804149440461,0.901229213119418,0.00399476774855925,0.896621686795024,0.00724547366603255,0.866655372225167,0.00116473579871942,1.08111713353145,0.00750307550791567,1.07471802338339,0.00228790769347353,1.08185136873249,0.000748625276338595,1.07848769077038,0.00746731362288731,1.09611469081045,0.00214312033646762,1.077915446629,0.00393574426376112
48,0.934857141869598,0.00570207791249747,0.918507659418807,0.00213717456093907,0.912243826317247,0.00359441832303627,0.900318742081512,0.00371443899031001,0.893794904807042,0.00717330357119861,0.869317100054398,0.000991533087652703,1.0780376686755,0.00785674713655647,1.07107980783488,0.00238139176433608,1.07696690599331,0.00126261669796752,1.07280920892643,0.00744728035229105,1.09026291163864,0.00274778690149403,1.07384328521893,0.00403383815996764
49,0.933234710628816,0.00517138133370558,0.917947852759498,0.00152599847370062,0.911167521868617,0.00368872211261892,0.900411640588742,0.00333906256588952,0.89177942852846,0.0070782246093628,0.873067488012359,0.00122960262110614,1.07476439274968,0.00815820791899376,1.06756058121615,0.00244723312511161,1.07213003454208,0.00184368412208673,1.06715273631331,0.00742803079542175,1.08431043986965,0.00340287595698324,1.06959152616258,0.00411742963475259
50,0.932088001212082,0.00453902657857074,0.91828848208735,0.000763409808718054,0.910984310538626,0.00377626428884341,0.901617312808737,0.00290286438710515,0.890734620125109,0.00696131042289708,0.877859417764209,0.0018305225629002,1.07129795427282,0.00839621889732266,1.06412929718749,0.0024309141454317,1.06740830657944,0.00244071440132201,1.06160893859505,0.00740019920003961,1.07839019931331,0.00411451317321655,1.06513715028269,0.00419041918151826
51,0.931509340490043,0.0037165045545882,0.919633579553358,0.000504341568583107,0.911850848512925,0.0038188913092193,0.904045619549136,0.0024545961301332,0.890804745951749,0.00682283745397388,0.883660130699886,0.00262104942550336,1.06768178363271,0.00855803016936539,1.06075768081101,0.00228395644487837,1.06286132239338,0.00301352958846817,1.05626298417581,0.00735203818140107,1.07262131718547,0.00488223613361841,1.06047368273577,0.00426373491717064
52,0.931580479565871,0.00283818306052688,0.921967483850405,0.00139955720957062,0.913784905586775,0.00384706051752251,0.90772611445842,0.00217101268959957,0.892100731698532,0.00663520970519784,0.890357746114531,0.00350550022768933,1.06395408444973,0.00857855479012552,1.05739499289854,0.00197542114944915,1.05851820605686,0.0035120433770287,1.05118142140765,0.00726776746602641,1.06710322752404,0.00569148942151747,1.0556358829539,0.0043443855289351
